-2,tinggalkan
-2,ditinggalkan
-2,diculik
-2,penculikan
-3,benci
-3,jijik
-3,menjijikkan
2,kemampuan
1,naik
-1,absen
2,lepaskan
2,dibebaskan
2,membebaskan
1,diserap
-3,penyalahgunaan
-3,disalahgunakan
-3,kasar
1,terima
1,diterima
1,menerima
-2,kecelakaan
-2,tidak disengaja
-2,secara tidak sengaja
2,capai
2,berhasil
-2,tuduhan
-2,menuduh
-2,tertuduh
-2,sakit
1,dapat dicapai
2,bebaskan
-3,tajam
1,aktif
1,cukup
3,kagumi
3,kagum
3,mengagumi
-1,akui
-1,diakui
-2,tegur
1,adopsi
1,mengadopsi
3,menggemaskan
3,sayang
3,adores
1,lanjutan
2,keuntungan
2,petualangan
2,petualang
-1,terpengaruh
3,kasih sayang
-1,menderita
-1,terhina
-2,takut
-2,memperburuk
-2,diperparah
-2,memberatkan
-2,agresi
-2,agresif
-2,kaget
2,agog
-3,menyiksa
1,setuju
2,menyenangkan
1,persetujuan
-2,alarm
-2,khawatir
-2,alarmist
-2,alarmis
-1,waspada
-2,keterasingan
1,hidup
-2,alergi
1,izinkan
-2,sendiri
2,mengherankan
4,luar biasa
2,ambisius
-1,ambivalen
3,menghibur
3,geli
3,hiburan
-3,kemarahan
-3,amarah
-3,marah
-3,sedih
-2,permusuhan
-2,mengganggu
-2,gangguan
-2,kesal
-2,menyebalkan
-2,antagonis
-1,anti
1,antisipasi
-2,kecemasan
-2,cemas
-3,apatis
-3,apeshit
-2,apokaliptik
-1,minta maaf
-1,meminta maaf
-1,maaf
-2,terkejut
-2,mengerikan
2,tenangkan
2,diredakan
2,menenangkan
2,tepuk tangan
2,bertepuk tangan
2,hargai
2,dihargai
2,menghargai
2,penghargaan
2,disetujui
2,menyetujui
1,bersemangat
-2,tangkap
-3,ditangkap
-2,penangkapan
-2,sombong
-2,ashame
-2,malu
-4,keledai
-3,pembunuhan
2,aset
-4,brengsek
2,tercengang
3,mencengangkan
3,secara mengejutkan
-1,serang
-1,diserang
-1,menyerang
-1,serangan
1,tarik
1,tertarik
2,menarik
2,daya tarik
2,atraksi
3,berani
1,otoritas
-1,avert
-1,dihindari
-1,averts
2,avid
-1,hindari
-1,tunggu
-1,ditunggu
-1,menunggu
3,diberikan
-2,canggung
-1,kapak
-1,dipotong
1,didukung
2,dukungan
1,punggung
-3,buruk
-3,badass
-3,dengan buruk
-2,dana talangan
-2,bambuzle
-2,diperdaya
-2,bambuzles
-2,cekal
-1,singkirkan
-3,bangkrut
-3,bankster
-2,dilarang
2,tawar-menawar
-2,penghalang
-5,bajingan
-1,pertempuran
-2,dipukuli
3,beatifik
-1,berdebar
3,cantik
3,indah
3,mempercantik
-2,meremehkan
-2,diremehkan
3,kekasih
2,manfaat
2,diuntungkan
2,menguntungkan
-2,berkabung
-2,berduka
-2,kehilangan
3,terbaik
-3,mengkhianati
-3,pengkhianatan
-3,dikhianati
2,lebih baik
-1,bias
1,besar
-5,jalang
-5,pelacur
-2,pahit
-2,dengan getir
-2,aneh
-2,bla
-2,salahkan
-2,disalahkan
-2,menyalahkan
2,diberkati
3,berkah
-1,buta
3,kebahagiaan
3,bahagia
2,riang
-1,blokir
3,blockbuster
-1,diblokir
-1,memblokir
-1,blok
-3,berdarah
-2,buram
2,tebal
2,dengan berani
-1,bom
1,tingkatkan
1,ditingkatkan
1,meningkatkan
-2,membosankan
-2,bosan
-2,repot
-2,terganggu
-2,menyusahkan
-2,boikot
-2,diboikot
-2,memboikot
-3,cuci otak
3,terobosan
5,menakjubkan
-3,suap
1,cerah
2,paling terang
1,kecerahan
4,brilian
2,cepat
-1,rusak
-2,merenung
-2,diintimidasi
-4,omong kosong
-2,pengganggu
-2,penindasan
-2,payah
2,apung
-2,beban
-2,terbebani
2,tenang
-3,tidak tahan
-1,batalkan
-1,dibatalkan
-1,membatalkan
-1,kanker
1,mampu
